station_number,wban_number,year,month,day,mean_temp,num_mean_temp_samples,mean_dew_point,num_mean_dew_point_samples,mean_sealevel_pressure,num_mean_sealevel_pressure_samples,mean_station_pressure,num_mean_station_pressure_samples,mean_visibility,num_mean_visibility_samples,mean_wind_speed,num_mean_wind_speed_samples,max_sustained_wind_speed,max_gust_wind_speed,max_temperature,max_temperature_explicit,min_temperature,min_temperature_explicit,total_precipitation,snow_depth,fog,rain,snow,hail,thunder,tornado
39530,99999,1930,5,14,52.70000076,4,49.20000076,4,1012.599976,4,,,9.300000191,4,11,4,13,,48,FALSE,,,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
33790,99999,1930,5,17,56.29999924,4,47.29999924,4,1019.5,4,,,5.300000191,4,8.300000191,4,13,,48,FALSE,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
30750,99999,1930,9,21,54.70000076,4,53,4,998.0999756,4,,,10.89999962,4,10,4,13,,52,FALSE,,,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
39800,99999,1930,7,4,56.29999924,4,53.5,4,1011.900024,4,,,2.5,4,5.199999809,4,8.899999619,,54,TRUE,,,0,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
38110,99999,1930,1,22,48.70000076,4,47.5,4,1012.299988,4,,,4.5,4,16.5,4,23.89999962,,48,FALSE,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
32620,99999,1930,5,12,44.70000076,4,39,4,1006.299988,4,,,6.800000191,4,6,4,8.899999619,,39,FALSE,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
34970,99999,1930,4,22,40.79999924,4,35,4,1012.299988,4,,,5.300000191,4,10.30000019,4,18.10000038,,33.09999847,FALSE,,,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
38560,99999,1930,7,24,58,4,52.79999924,4,1011.299988,4,,,7.800000191,4,12,4,13,,53.09999847,FALSE,,,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
38640,99999,1930,3,3,45.79999924,4,41.5,4,1023.799988,4,,,3.400000095,4,10,4,13,,42.09999847,FALSE,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
38940,99999,1930,9,28,57,4,47.90000153,4,1018.299988,4,,,10.89999962,4,8.899999619,4,8.899999619,,53.09999847,FALSE,,,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
38940,99999,1930,7,9,62.5,4,58.70000076,4,1024.699951,4,,,6.199999809,4,2.200000048,4,5.099999905,,59,FALSE,,,0,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
30750,99999,1930,5,24,47.79999924,4,46.70000076,4,1025.699951,4,,,5,4,8,4,8.899999619,,46.90000153,FALSE,,,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
33110,99999,1930,7,24,56,4,51.79999924,4,1013.599976,4,,,9.899999619,4,14.69999981,4,23.89999962,,54,FALSE,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
38040,99999,1930,5,14,52,4,51,4,1016,4,,,2.799999952,4,10,4,13,,48.90000153,FALSE,,,0,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
39800,99999,1930,12,25,41.79999924,4,,,999.4000244,4,,,4.300000191,4,10.30000019,4,18.10000038,,39.90000153,FALSE,,,0.01999999955,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
36010,99999,1930,8,30,59.29999924,4,58.20000076,4,1021.099976,4,,,0.400000006,4,4,4,8.899999619,,55,FALSE,,,0,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
37950,99999,1930,9,30,52.20000076,4,50.5,4,1019.5,4,,,1.600000024,4,8.899999619,4,8.899999619,,42.09999847,FALSE,,,0,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
37950,99999,1930,8,2,62.70000076,4,58,4,1001.700012,4,,,14,4,13.30000019,4,18.10000038,,60.09999847,FALSE,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
38110,99999,1930,9,5,61.29999924,4,59.29999924,4,1016.200012,4,,,9.300000191,4,8,4,8.899999619,,59,FALSE,,,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
39530,99999,1930,3,29,47.29999924,4,40.5,4,1001.700012,4,,,12.39999962,4,21.20000076,4,29.89999962,,43,FALSE,,,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
39800,99999,1930,1,25,37,4,33.59999847,4,991.9000244,4,,,9.300000191,4,12.19999981,4,18.10000038,,33.09999847,FALSE,,,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
38560,99999,1930,3,30,47.5,4,44.20000076,4,1016,4,,,9.300000191,4,13,4,13,,41,FALSE,,,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
37770,99999,1930,12,9,36,4,35,4,1004.700012,4,,,1.399999976,4,6.199999809,4,8.899999619,,33.09999847,FALSE,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
37770,99999,1930,10,14,56.5,4,48.5,4,1016.299988,4,,,4.300000191,4,9,4,13,,48,FALSE,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
38640,99999,1930,8,24,60,4,52,4,1021,4,,,9.300000191,4,11,4,13,,53.09999847,FALSE,,,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
38940,99999,1930,2,22,39.20000076,4,33.79999924,4,1025.699951,4,,,1.899999976,4,3.5,4,5.099999905,,37.90000153,TRUE,,,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
